 ,Public Figure Name,Statement,Positive/Negative,
184036V,Janeeth Rodrigo,2021 අවුරුද්ද කියන්නේ Digital ලෝකයේ ලොකු පෙරළියක් කරපු අවුරුද්දක්. ඒ අවුරුද්ද ඇතුළත upgrade වුණ digital stats reveal කරන Digital 2022 report එක ගැන පහුගිය සතියේ Video එකෙන් අපි කතා කළා. අද අපි කතා කරන්නේ ශ්‍රී ලංකාවේ Digital 2022 report එක  මොන වගේද කියන එක ගැන. ලංකාවේ ඒ ගැන උනන්දු හැමෝටම මේ video එකත් ගොඩක් වැදගත් වෙයි කියල අපි හිතනව.,Positive,
,Dhanika Perera,"Shopify භාවිතා කරන දේශීය eCommerce ව්‍යාපාර සඳහා අවශ්‍ය වන නවතම Shopify Integration එක දැන් PayHere වෙතින් ඔබට ලබාගත හැකි බව දන්වා සිටිමු.
පැරණි Shopify Integration එක මේ මස 31 වැනිදායින් පසු අක්‍රීය වන බව ඔවුන් දන්වා ඇති හෙයින්, ඊට පෙර මෙය install කරගන්න.",Positive,
,Travel Today,ඔයාලා හැ⁣මෝම Pizza කාලා ඇති. ඒත් මේ Napoli Pizza  කාලා ඇත්තේ අනිවාර්යයෙන්ම ටික දෙනෙක් වෙන්න ඕනි. මොකද මේක ලංකාවේ ටිකක් හොයාගන්න අමාරු Pizza ජාතියක්. Authentic Italian Pizza වල මේ Napoli Pizza පට්ටම රසයි. අපිට මේ Pizza එක කන්න ලැබුණේ Galle Fort එකේ Pedlar's Corner Cafe එකෙන් එතන මේ Pizza එක හදන්නේ Italian Chef කෙනෙක් ඒක නිසා ඉතින් Quality එක ගැන අයෙත් අහන්න දෙයක් නෑ.. ඔයාලත් ගාලු කොටුවේ පැත්තේ ගියොත් අනිවාර්යයෙන්ම මේක කලා බලන්න.. සුපිරියක් තමයි..,Positive,
,Sachini Nipunsala,"Deodorant එකක් පාවිච්චි කරනන්ම ඕනෙද? ඒකෙන් armpits කළු වෙනවද? 🤔 
එහෙන්ම් මේ ඔයාට හොඳ solution එකක් 👆🏻",Positive,
,Rohan Pallewatta,"ඔබේ යුතුකම ඉටුකලා, දැන් මගේ වාරයයි.
You've done your responsibility, now it's my moral obligation.",,
,Heminda Jayaweera,"රටේ නායකයාට පිස්සු (mentally unstable) කියලා ඔප්පු කළොත් මොකද වෙන්නේ?
What does the constitution say? ",Negative,
,Randhir Witana,"Dear පාලකයිනි...

Curfew දාලා, Social Media බ්ලොක්‌ කරලා, රටක මිනිසුන්ගේ අදහස් වෙනස් කරන්න බෑ හලෝ... 🤦‍♂️",Negative,
,Dulith Herath,"ශක බුම් is so overrated now.
No longer cool.",Negative,
,Saranga Disasekara,Dinakshie මේ බලන්නකො ඔයාගෙ කොට කලිසම ගිහින් තියන දුර 🙈,Negative,
,Piumi Hansamali,නැ නැ තාම බැන්දෙ නැ.බැන්ද ගමන් මුලින්ම කියන්නෙ පැත්ත ගියත් ඇත්ත කියන හිරැ එකට 😂❤️ anyway thank you Hiru Gossip,,
184037B,Abhisheka Wimalaweera,"සියලු  ප්‍රවේශපත් online system එකෙන්  පමණක්   පැය 48 න්  SOLD OUT කරපු තරුණ ව්‍යවසායකයා     
                      ස්තූතියි ඔබට 🙏",Positive,
,Madhawa Wijesinghe,"Shooting වලට නුවර ගියපු මගේ හිත ගිය තැනක්.. ❤️
හදිස්සියට shooting ගිය මට වැඩිපුර ඇඳුම් ටිකක් ඕනෙ උනා.
ඔන්න නුවර ඉන්න ඔයාලටයි, නුවර ලස්සන බලන්න යන ඔයාලටයි ඇඳුම් ගන්න යන්න හොඳම තැන තමයි මේ.. 
MBRK, Casual range වගේම active range එකට තමයි වැඩිපුරම මගේ හිත ගියේ. ඔයත් Kandy NOLIMIT එකට ගිහිල්ලම බලන්නකො..",Positive,
,Janeeth Rodrigo,"Facebook කියන්නෙ මිතුරු සම්බන්ධතා පවත්වාගන්න විතරක්ම තියෙන platform එකක් නෙවෙයි. 
පහුගිය දශකය පුරාම නොයෙක් ව්‍යාපාරික සන්නාම වලට ඒවාට ගැලපෙනම පාරිභෝගිකයින් එකතු කරගන්න Facebook කියන platform එක ප්‍රයෝජනවත් වෙලා තියෙනවා. තමන්ගේ Brand එකක් කෙලින්ම Facebook හරහා අළෙවි කරන්න පවා හැකිවෙලා තියෙනවා. 
ඔබේ ව්‍යාපාර කටයුතු පුළුල් කරගන්න වඩා ඵලදායී විදිහට Facebook පාවිච්චි කරන්නෙ කොහොමද කියල හරියටම දැනගන්න මේ වීඩියෝව නරඹන්න. ",Positive,
,Dhanika Perera,"බොහෝ දෙනාගේ ඉල්ලීම අනුව දැන් එසැණ ඩිජිටල් තොරතුරු සේවාවට ඍජුව පිවිසිය හැකි Shortcut එකක් Home screen එකට එක් කරගැනීමේ නව පහසුකමක් ලබා දී ඇත.

දැනට මෙය Android පරිශීලකයන්ට හෙළකුරු 10.2.3 Update එක හරහා ලබා දී ඇති අතර iOS පරිශීලකයන්ටද නුදුරේදීම ලැබෙනු ඇත.",Positive,
,Surendra Wasantha Perera,හදවතටම දැනුන comment  එකක්...ඉතිං  කොහොමද ලංකාව දාලා යන්නේ...face book page එක මට එකම පවුලක් යන කියමනට වෙන මොන පිලිතුරැද???ඉතා ඉක්මනින්  නව ව්‍යාපාර අරඹනවා ලංකාවේ ...,Positive,
,Thorz,Satan ට එන්න බැරි උනා colombo traffic ☹️😒,Negative,
,Randhir Witana,Mask ඕනේ නෑ කිව්වට ඉස්සරහට bulletproof vest ඕන වෙයි වගේ 🏃🚔🔫🤦‍♂️,Negative,
,Piumi Hansamali,Australia වල එහෙම තියනවා whiting Injections එවා use කරාම නම් තම්බපු ඉස්සො වගෙ සුදු වෙනවා😂 whiting Cream use කරාම නම් මෙ මගෙ වගෙ Color එකක් එනවා . එකයි ඇත්ත තමන්ට ආදර කරන fans ලා ඉන්නවා නම් එ ආදරනිය fans ලාට බොරු කියන්න එපා ,Negative,
,Kelum Srimal,No ball එකක් දීල umpiresලා ඉන්දියාවට  ඇදල දුන්න ද.? Australia හමුවෙ දස්සාගෙ ගැන්සිය හෙවත් අපේ කන්ඩායම මොනවාද කරන්න හදන්නෙ..?,Negative,
,Anushka Udana Liyanage,"Finally Its Here..!!!

IEM G4 
Sennheiser

රටේ ගෑස් නැතුව ., තෙල් නැතුව ., කරන්ට් නැතුව ., මෙලෝ රෙද්දක් නැති උභතෝකෝටික ප්‍රශ්න හැටනමලක්ශයක් තියන වෙලාවක ., මේක ලංකාවට ගෙන්න ගන්න උදව් කරපු හැමෝටම පින් පිට පින්., ස්තූතියි 

Generation 4  - IEM 🤟🚮🤟
වස්ති - සම්ප්‍රදාය අතික්‍රමණයට",,
184074J,Lahiru Weerasekara,කවට රනිල්ගේ නිවට මර්දනයට එරෙහි වෙමු! හෙට(06) සවස 3 ට කඳුරුවෙලට #setවෙමු! අරගලයේ ඉදිරි පිම්ම අත්නොහරින තරුණ ගැම්ම #CHEnge,Negative,
,Prof. Rohan Samarajiva,NWSDB 2021 පාඩුව රුපියල් බිලියන 3.1.  පානීය ජලය නිෂ්පාදනය කිරීමේ වියදමෙන් 30% පමණ විදුලිය. ජල ගාස්තු වැඩි නොකර පුළුවන්ද?  එසේ නොකලොත්  මුදල් අච්චු ගැසීම හැර වෙන විකල්පයක් තිබේද? එය කලොත් උද්ධමනය නොවැලැක්විය හැකියි.,Negative,
